#OTU ID,24-S1-nc.blast,24-S2-nc.blast,24-S3-nc.blast,24-S4-nc.blast,24-S5-nc.blast,24-blank-nc.blast,BL3-S1-nc.blast,BL3-S2-nc.blast,BL3-S3-nc.blast,BL3-S5-nc.blast,BL3-blank-nc.blast,SG1-S1-nc.blast,SG1-S2-nc.blast,SG1-S3-nc.blast,SG1-S4-nc.blast,SG1-S5-nc.blast,SG1-blank-nc.blast,SG10-S1-nc.blast,SG10-S2-nc.blast,SG10-S3-nc.blast,SG10-S4-nc.blast,SG10-S5-nc.blast,SG10-blank-nc.blast,SG2-S1-nc.blast,SG2-S2-nc.blast,SG2-S3-nc.blast,SG2-S4-nc.blast,SG2-S5-nc.blast,SG2-blank-nc.blast,SG21-S1-nc.blast,SG21-S2-nc.blast,SG21-S3-nc.blast,SG21-S4-nc.blast,SG21-blank-nc.blast,SG22-S1-nc.blast,SG22-S2-nc.blast,SG22-S3-nc.blast,SG22-S4-nc.blast,SG22-S5-nc.blast,SG22-blank-nc.blast,SG23-S1-nc.blast,SG23-S2-nc.blast,SG23-S3-nc.blast,SG23-S4-nc.blast,SG23-S5-nc.blast,SG23-blank-nc.blast,SG5-S1-nc.blast,SG5-S2-nc.blast,SG5-S3-nc.blast,SG5-S4-nc.blast,SG5-S5-nc.blast,SG5-blank-nc.blast,SG7-S1-nc.blast,SG7-S2-nc.blast,SG7-S3-nc.blast,SG7-S4-nc.blast,SG7-S5-nc.blast,SG7-blank-nc.blast,SG8-S1-nc.blast,SG8-S2-nc.blast,SG8-S3-nc.blast,SG8-S4-nc.blast,SG8-S5-nc.blast,SG8-blank-nc.blast,SG9-S1-nc.blast,SG9-S2-nc.blast,SG9-S3-nc.blast,SG9-S4-nc.blast,SG9-S5-nc.blast,SG9-blank-nc.blast,W13-S1-nc.blast,W13-S2-nc.blast,W13-S3-nc.blast,W13-S4-nc.blast,W13-S5-nc.blast,W13-blank-nc.blast,W14-S1-nc.blast,W14-S2-nc.blast,W14-S3-nc.blast,W14-S4-nc.blast,W14-S5-nc.blast,W14-blank-nc.blast,W15-S1-nc.blast,W15-S2-nc.blast,W15-S3-nc.blast,W15-S4-nc.blast,W15-S5-nc.blast,W15-blank-nc.blast,W17-S1-nc.blast,W17-S2-nc.blast,W17-S3-nc.blast,W17-S4-nc.blast,W17-S5-nc.blast,W17-blank-nc.blast,W18-S1-nc.blast,W18-S2-nc.blast,W18-S3-nc.blast,W18-S4-nc.blast,W18-S5-nc.blast,W18-blank-nc.blast,neg1-nc.blast,neg2-nc.blast,neg3-nc.blast,pos1-nc.blast,pos2-nc.blast,pos3-nc.blast,taxomomy
Anguilla_anguilla,24,0,40,0,107,0,0,0,0,0,0,0,0,0,0,101,0,0,0,105,392,0,0,0,0,0,0,0,0,3,0,0,0,0,184,506,0,1092,0,0,6356,1691,0,0,0,0,475,0,0,0,0,0,0,261,240,264,42,0,0,377,0,717,833,0,0,279,0,0,623,0,0,0,224,0,0,0,0,0,0,0,391,0,11356,7313,4923,3801,806,0,171,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Anguilliformes', 'f__Anguillidae', 'g__Anguilla', 's__Anguilla_anguilla']"
Maylandia_zebra,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363442,360605,130081,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cichliformes', 'f__Cichlidae', 'g__Maylandia', 's__Maylandia_zebra']"
Cobitis_taenia,0,0,41,290,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,205,0,0,17,0,0,0,0,0,0,0,0,0,0,0,556,0,0,1507,0,0,0,0,0,0,0,175,1404,330,1353,713,0,909,81,344,780,343,0,1596,343,0,541,119,0,0,0,0,0,0,0,56,0,399,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,1223,982,1838,872,242,0,1213,3262,5761,4650,3300,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cobitidae', 'g__Cobitis', 's__Cobitis_taenia']"
Abramis_brama,1859,2062,1280,877,522,0,0,0,218,441,0,0,13,0,0,3841,0,1840,431,844,1598,2350,0,12570,7290,430,2916,6936,0,15,945,3763,2265,0,50298,21350,11194,2054,2160,0,0,1926,3105,4255,4617,0,566,2216,1027,1673,619,0,2188,48222,52153,13764,17511,0,4473,6010,4651,3498,5814,0,2330,6678,10316,4806,27022,0,0,263,361,2143,972,0,28732,19274,10098,12621,31034,0,1392,1148,1531,3225,2251,0,2560,4469,1211,324,332,0,483,0,0,0,0,0,19,0,144,6,0,83,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Abramis', 's__Abramis_brama']"
Alburnus_alburnus,242,476,118,13,6,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,4,0,0,3,0,10,12,0,0,0,0,0,0,3565,509,12,11,33,0,0,0,0,0,0,0,0,20,9,0,0,0,154,112,38,34,56,0,1095,1373,837,1034,1927,0,20,29,32,50,138,0,0,5,0,21,9,0,0,0,0,0,294,0,5,0,0,12,7,0,28,105,6,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Alburnus', 's__Alburnus_alburnus']"
Blicca_bjoerkna,968,938,194,366,405,0,0,0,4,0,0,0,0,0,0,0,0,448,0,0,0,0,0,4,3,0,0,0,0,0,35,0,0,0,12133,947,206,0,1099,0,0,0,0,0,0,0,0,1913,264,0,0,0,803,14,166,4,656,0,1416,2170,3959,2542,1613,0,0,482,900,439,3605,0,0,0,0,0,0,0,11,6,5,3,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Blicca', 's__Blicca_bjoerkna']"
Carassius_auratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Carassius', 's__Carassius_auratus']"
Carassius_carassius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Carassius', 's__Carassius_carassius']"
Cyprinus_carpio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,188,315,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Cyprinus', 's__Cyprinus_carpio']"
Gobio_gobio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Gobio', 's__Gobio_gobio']"
Hypophthalmichthys_molitrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Hypophthalmichthys', 's__Hypophthalmichthys_molitrix']"
Leucaspius_delineatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leucaspius', 's__Leucaspius_delineatus']"
Leuciscus_idus,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,1604,0,0,19,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3,76,0,0,0,0,0,15,0,0,0,0,0,65,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,265,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leuciscus', 's__Leuciscus_idus']"
Leuciscus_leuciscus,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,389,477,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,362,319,216,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leuciscus', 's__Leuciscus_leuciscus']"
Phoxinus_phoxinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Phoxinus', 's__Phoxinus_phoxinus']"
Rhodeus_amarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,4470,4052,7399,6135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Rhodeus', 's__Rhodeus_amarus']"
Rutilus_rutilus,54924,63868,45137,39528,34225,0,0,5191,378,370,0,8,12,0,0,4504,0,5470,8011,3897,10926,7208,0,0,8032,596,11394,2465,0,0,323,738,105,0,141303,39108,26970,29412,55542,0,6993,2482,3314,2324,1062,0,11359,38282,24013,10745,5386,0,81729,87735,38492,44062,33960,0,39784,52097,46097,40352,46487,25,12612,33041,34211,27241,83175,0,486,6512,7685,35533,16554,0,252,834,5093,571,289,0,4108,6092,1291,6014,2581,0,45459,138780,10566,10026,1393,0,10009,2495,1641,3559,1512,0,79,0,160,42,0,176,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Rutilus', 's__Rutilus_rutilus']"
